address,mac,name,os_name,os_flavor,os_sp,purpose,info,comments
"172.29.0.1","","","Unknown","","","device","",""
"172.29.0.7","","","Unknown","","","device","",""
"172.29.0.10","","","Unknown","","","device","",""
"172.29.0.22","","","Unknown","","","device","",""
"172.29.0.23","","","Unknown","","","device","",""
"172.29.0.24","","","Unknown","","","device","",""
"172.29.0.26","","","Unknown","","","device","",""
"172.29.0.30","","","Unknown","","","device","",""
"172.29.1.1","","","Unknown","","","device","",""
"172.29.2.1","","","Unknown","","","device","",""
"172.29.52.1","","","Unknown","","","device","",""
"172.29.52.254","","","Unknown","","","device","",""
"172.29.61.1","","","Unknown","","","device","",""
"172.29.61.36","","","Unknown","","","device","",""
"172.29.61.45","","","Unknown","","","device","",""
"172.29.61.122","","","Unknown","","","device","",""
"172.29.64.1","","","Unknown","","","device","",""
"172.29.64.51","","","Unknown","","","device","",""
"172.29.68.1","","","Unknown","","","device","",""
"172.29.90.1","","","Unknown","","","device","",""
"172.29.93.1","","","Unknown","","","device","",""
"172.29.110.1","","","Unknown","","","device","",""
"172.29.110.33","","","Unknown","","","device","",""
"172.29.112.1","","","Unknown","","","device","",""
"172.29.112.30","","","Unknown","","","device","",""
"172.29.114.1","","","Unknown","","","device","",""
"172.29.120.1","","","Unknown","","","device","",""
"172.29.120.96","","","Unknown","","","device","",""
"172.29.122.1","","","Unknown","","","device","",""
"172.29.122.161","","","Unknown","","","device","",""
"172.29.122.188","","","Unknown","","","device","",""
"172.29.122.219","","","Unknown","","","device","",""
"172.29.124.1","","","Unknown","","","device","",""
"172.29.124.66","","","Unknown","","","device","",""
"172.29.124.200","","","Unknown","","","device","",""
"172.29.126.1","","","Unknown","","","device","",""
"172.29.126.43","","","Unknown","","","device","",""
"172.29.128.1","","","Unknown","","","device","",""
"172.29.130.1","","","Unknown","","","device","",""
"172.29.130.30","","","Unknown","","","device","",""
"172.29.132.1","","","Unknown","","","device","",""
"172.29.132.34","","","Unknown","","","device","",""
"172.29.134.1","","","Unknown","","","device","",""
"172.29.134.21","","","Unknown","","","device","",""
"172.29.134.22","","","Unknown","","","device","",""
"172.29.136.1","","","Unknown","","","device","",""
"172.29.136.19","","","Unknown","","","device","",""
"172.29.136.198","","","Unknown","","","device","",""
"172.29.144.1","","","Unknown","","","device","",""
"172.29.144.36","","","Unknown","","","device","",""
"172.29.148.1","","","Unknown","","","device","",""
"172.29.160.1","","","Unknown","","","device","",""
"172.29.160.254","","","Unknown","","","device","",""
"172.29.164.1","","","Unknown","","","device","",""
"172.29.164.35","","","Unknown","","","device","",""
"172.29.164.92","","","Unknown","","","device","",""
"172.29.168.1","","","Unknown","","","device","",""
"172.29.168.10","","","Unknown","","","device","",""
"172.29.168.11","","","Unknown","","","device","",""
"172.29.168.35","","","Unknown","","","device","",""
"172.29.168.120","","","Unknown","","","device","",""
"172.29.168.130","","","Unknown","","","device","",""
"172.29.168.216","","","Unknown","","","device","",""
"172.29.168.221","","","Unknown","","","device","",""
"172.29.172.1","00:1a:8c:f0:92:80","","Unknown","","","device","",""
"172.29.172.102","e4:95:6e:44:68:17","","Unknown","","","device","",""
"172.29.172.109","74:46:a0:94:51:95","","Unknown","","","device","",""
"172.29.172.116","62:f2:3a:df:4a:1c","","Unknown","","","device","",""
"172.29.172.142","74:46:a0:96:4e:88","","Unknown","","","device","",""
"172.29.172.209","de:f8:a8:f9:74:a7","","Unknown","","","device","",""
"172.29.172.237","88:51:fb:66:39:8e","","Unknown","","","device","",""
"172.29.180.1","","","Unknown","","","device","",""
"172.29.180.233","","","Unknown","","","device","",""
"172.29.180.241","","","Unknown","","","device","",""
"172.29.180.242","","","Unknown","","","device","",""
"172.29.180.246","","","Unknown","","","device","",""
"172.29.180.249","","","Unknown","","","device","",""
"172.29.184.1","","","Unknown","","","device","",""
"172.29.188.1","","","Unknown","","","device","",""
"172.29.188.241","","","Unknown","","","device","",""
"172.29.192.1","","","Unknown","","","device","",""
"172.29.196.1","","","Unknown","","","device","",""
"172.29.196.190","","","Unknown","","","device","",""
"172.29.200.1","","","Unknown","","","device","",""
"172.29.200.13","","","Unknown","","","device","",""
"172.29.200.15","","","Unknown","","","device","",""
"172.29.200.34","","","Unknown","","","device","",""
"172.29.200.35","","","Unknown","","","device","",""
"172.29.200.36","","","Unknown","","","device","",""
"172.29.200.37","","","Unknown","","","device","",""
"172.29.200.38","","","Unknown","","","device","",""
"172.29.200.168","","","Unknown","","","device","",""
"172.29.204.1","","","Unknown","","","device","",""
"172.29.204.8","","","Unknown","","","device","",""
"172.29.204.11","","","Unknown","","","device","",""
"172.29.204.12","","","Unknown","","","device","",""
"172.29.204.14","","","Unknown","","","device","",""
"172.29.204.35","","","Unknown","","","device","",""
"172.29.204.50","","","Unknown","","","device","",""
"172.29.204.136","","","Unknown","","","device","",""
"172.29.204.210","","","Unknown","","","device","",""
"172.29.204.213","","","Unknown","","","device","",""
"172.29.204.215","","","Unknown","","","device","",""
"172.29.204.223","","","Unknown","","","device","",""
"172.29.208.1","","","Unknown","","","device","",""
"172.29.208.10","","","Unknown","","","device","",""
"172.29.208.14","","","Unknown","","","device","",""
"172.29.208.35","","","Unknown","","","device","",""
"172.29.208.36","","","Unknown","","","device","",""
"172.29.208.38","","","Unknown","","","device","",""
"172.29.208.39","","","Unknown","","","device","",""
"172.29.208.40","","","Unknown","","","device","",""
"172.29.208.41","","","Unknown","","","device","",""
"172.29.208.42","","","Unknown","","","device","",""
"172.29.208.43","","","Unknown","","","device","",""
"172.29.208.44","","","Unknown","","","device","",""
"172.29.208.45","","","Unknown","","","device","",""
"172.29.208.46","","","Unknown","","","device","",""
"172.29.212.1","","","Unknown","","","device","",""
"172.29.212.10","","","Unknown","","","device","",""
"172.29.212.25","","","Unknown","","","device","",""
"172.29.212.28","","","Unknown","","","device","",""
"172.29.212.30","","","Unknown","","","device","",""
"172.29.224.1","","","Unknown","","","device","",""
"172.29.236.1","","","Unknown","","","device","",""
"172.29.240.1","","","Unknown","","","device","",""
"172.29.240.254","","","Unknown","","","device","",""
